Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,SfC,22/09/2016,31/12/2018,BLACKBOROUGH VILLAGE HALL               ,1317,Refurbishment of hall,1000,Capital  
Place,SfC,22/09/2016,31/12/2018,TURNING TIDES PROJECT CIC               ,1323,Purchase of media equipment,1000,Capital  
Place,SfC,22/09/2016,31/12/2018,DARTMOUTH GREEN PARTNERSHIPS            ,1327,Greenhouse & equipment,2000,Capital  
Place,SfC,22/09/2016,31/12/2018,KINGSLEY INDOOR BOWLING CLUB            ,1328,Installation of HVAC system,10000,Capital  
Place,SfC,22/09/2016,31/12/2018,KENTON VICTORY HALL                     ,1330,Installation of fixed overhead projectors,1000,Capital  
Place,SfC,02/12/2016,31/12/2018,HATHERLEIGH SCHOOL ASSOC PTFA           ,1341,Amphitheatre Seating,1500,Capital  
Place,SfC,02/12/2016,31/12/2018,CLIFF HOUSE TRUST LTD                   ,1342,New corridor roof,1000,Capital  
Place,SfC,02/12/2016,31/12/2018,WONFORD COMM & LEARNING CNTR LTD        ,1344,Furniture & equipment,157.91,Capital  
Place,SfC,02/12/2016,31/12/2018,KINGSTEIGNTON SWIMMING POOL             ,1345,Refurbishment of changing rooms,2000,Capital  
Place,SfC,02/12/2016,31/12/2018,HEART CENTRE THE                        ,1347,The Natural Approach Group - Disabled Toilet,2000,Capital  
Place,SfC,02/12/2016,31/12/2018,DECOY BMX CLUB                          ,1353,Installation of safety start gate system,3000,Capital  
Place,SfC,02/12/2016,31/12/2018,KINGSKERSWELL VILLAGE HALL              ,1355,Structural upgrade of roof area,2000,Capital  
Place,SfC,02/12/2016,31/12/2018,COUNTESS WEAR VILLAGE HALL              ,1365,Installation of platform lift,3496.75,Capital  
Place,SfC,02/12/2016,31/12/2018,WILLAND VILLAGE HALL COMMITTEE          ,1368,Village Hall Refurbishment,1000,Capital  
Place,SfC,02/12/2016,31/12/2018,ALPHINGTON COMMUNITY ASSOCIATION        ,1374,Kitchen equipment,1500,Capital  
Place,SfC,02/12/2016,31/12/2018,EXETER CROQUET CLUB                     ,1378,Safety boards,374.64,Capital  
Place,SfC,02/12/2016,31/12/2018,ALPHINGTON LADIES SOCIAL GROUP          ,1379,Dishwasher,1500,Capital  
Place,SfC,02/12/2016,31/12/2018,JOURNEY THERAPEUTIC COUNSELLING         ,1382,Laptop and Carpet ,1000,Capital  
Place,SfC,10/01/2017,31/12/2018,HEARTSTART                              ,1394,Defibrillator,1000,Capital  
Place,SfC,10/01/2017,31/12/2018,MOORHAYES COMMUNITY ASSOCIATION         ,1405,Disabled toilets and baby changing area,2000,Capital  
Place,SfC,10/01/2017,31/12/2018,UFFCULME VILLAGE HALL                   ,1406,Village Hall Refurbishment,1000,Capital  
Place,SfC,10/01/2017,31/12/2018,SIDFORD SOCIAL HALL                     ,1407,Refurbishment of gents toilets,1479,Capital  
Place,SfC,10/01/2017,31/12/2018,EXETER COMMUNITY INITIATIVES            ,1413,Signage for Community Centre,650,Capital  
Place,SfC,10/01/2017,31/12/2018,SIDMOUTH VOLUNTARY SERVICES             ,1416,Defibrillator,1450,Capital  
Place,SfC,10/01/2017,31/12/2018,GO NORTH DEVON LTD                      ,1418,Portable Scooters,1500,Capital  
Place,SfC,10/01/2017,31/12/2018,ASHBURTON CRICKET CLUB                  ,1427,Disabled Toilet,500,Capital  
Place,SfC,10/01/2017,31/12/2018,NU PROJECT                              ,1432,Laptop,1598.98,Capital  
Place,SfC,25/01/2017,31/12/2018,COUNTESS WEAR VILLAGE HALL              ,1438,New Village Hall,2000,Capital  
Place,SfC,25/01/2017,31/12/2018,ALPHINGTON COMMUNITY ASSOCIATION        ,1444,Village hall kitchen refurb,3000,Capital  
Place,Highways,,01/04/2017 - 31/03/2018,EXETER C V S                            ,472036,75% contribution re provision of bike racks and canopy at CoLab,2055.41,Capital  
CoPhep,EEP,13/01/2017,1/4/16 to 31/3/17,DARTINGTON HALL TRUST                   ,Charity Number: 279756,Devon Social Entrepreneurs Programme 16/17,"29,000.00",Revenue
CoPhep,EEP,09/02/2017,to 31/12/17,DEVON COMMUNITY FOUNDATION              ,Charity Number: 1057923,Grant re Solutions to an Ageing Society Project,"7,500.00",Revenue
CoPhep,EEP,27/06/2016,to 31/12/17,EDP DRUG & ALCOHOL SERVICES             ,Charity Number 297370,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"39,908.20",Revenue
CoPhep,EEP,27/06/2016,to 31/12/17,EXETER COMMUNITY INITIATIVES            ,Charity Number: 1026229,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"34,992.00",Revenue
CoPhep,EEP,12/10/2015,to 31/12/17,FREEDOM SOCIAL ENTERPRISES              ,Charity Number: 1125960,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"19,500.00",Revenue
CoPhep,EEP,24/11/2015,to 31/12/17,ST SIDWELLS CENTRE                      ,Charity Number: 1122697,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"10,642.00",Revenue
CoPhep,EEP,24/11/2015,to 31/12/17,TRILL TRUST THE                         ,Charity Number: 1094893,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"16,638.00",Revenue
CoPhep,EEP,16/02/2017,1/4/16 to 31/3/17,VISIT DEVON CIC                         ,Company number: 10085899,"Contgribution to promotional costs of Visit Devon, & business promotion grant","27,355.00",Revenue
CoPhep,EEP,27/06/2016,to 31/12/17,WESTWARD PATHFINDER                     ,Charity Number: 1075429,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"31,250.00",Revenue
CoPhep,EEP,27/06/2016,to 31/12/17,WINGS SOUTH WEST                        ,Charity No: 1082938,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"29,294.00",Revenue
CoPhep,EEP,12/10/2015,to 31/12/17,YOUNG DEVON (IVYBRIDGE)                 ,Charity No: 1057949,To reduce reliance on grant funding and commissioning to ensure organisational sustainability,"29,000.00",Revenue
CoPhep,PTE,04/01/2017,1/4/16 to 31/3/17,CITY OF EXETER YMCA HOUSING,Charity No: 803226,Cycle Hub Grant,"1,425.74",Revenue
CoPhep,PTE,05/01/2017,1/4/16 to 31/3/17,RIDE ON - CYCLING FOR ALL,Charity No: 1174055,Grant support for Exeter-based activities,"10,485.00",Revenue
CoPhep,PTE,25/04/2016,31/03/2017,West Devon Community & Voluntary Services,1119730, Administration and co-ordination of voluntary car schemes in the group’s operating area,"8,698",Revenue
CoPhep,PTE,25/04/2016,31/03/2017,Trip Community Transport Association,1082544, Administration and co-ordination of voluntary car schemes in the group’s operating area,"9,209",Revenue
CoPhep,PTE,25/04/2016,31/03/2017,Braunton Volunteer Bureau,269536, Administration and co-ordination of voluntary car schemes in the group’s operating area,"4,093",Revenue
CoPhep,PTE,25/04/2016,31/03/2017,Devon Wheels to Work,5927572, Towards the operation of the Wheels 2 Work scheme and the continuation of service to the scheme beneficiaries,"45,000",Revenue
CoPhep,PTE,05/05/2016,31/03/2017,North Devon Voluntary Services Ltd,1133707, Towards the continued management and operation of the group and its transport activities,"44,163",Revenue
Highways,Highways,11/06/2017,2017/18,MELDON VIADUCT COMPANY LTD,3625472,contribution towards Meldon Viaduct,"8,000.00",Revenue
CoPhep,Public Health,01/04/2017,31/03/2018,North Devon Against Domestic Abuse (NDADA),1098450,"Contribution toward the costs of delivering the MARAC IDVA service within North Devon, Torridge, and South & West Devon. ","80,000",Revenue
CoPhep,Public Health,01/04/2017,31/03/2018,Stop Abuse for Everyone,291415,Contribution toward the cost of delivering the MARAC IDVA service within East & Mid Devon.,"40,000",Revenue
CoPhep,Public Health,31/03/2017,31/03/2018,Young Devon YES,1057949,To enable Young Devon to undertake some specific sexual health focused work with young people.,"12,500",Revenue
CoPhep,Public Health,31/03/2017,31/03/2018,The Zone Youth Enquiry Service Ltd,2787912,To enable young people who reside in the West Devon area to access sexual health promotion advice.,"3,905",Revenue
EDLCS,CSW,07/03/2017,fy 2016/17,A BRIGHTER TOMORROW                     ,1104247,"Peer support for over 90 parents in Exeter, East and Mid Devon",2500,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,BARNSTAPLE FC                           ,none,Inclusive football club providing sessions for 8-16 with a disability or special needs,4815,Revenue
EDLCS,CSW,16/03/2017,fy 2016/17,COMMUNITY LINKS SOUTH WEST CIC          ,7601118,Monthly activities group for children with ASC/ADHA. 40 families involved and there is a support group function,1000,Revenue
EDLCS,CSW,20/01/2017,fy 2016/17,CREDITON & DISTRICT PLAYSCHEME          ,299791,Residentials for children with disabilities,4120,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,DEVON COUNTY FOOTBALL ASSOC             ,none,Football coaching sessions across Devon for children with disabilities,4200,Revenue
EDLCS,CSW,19/12/2017,b,DOWN'S SYNDROME ASSN NORTH DEVON        ,1061474,Parent led support group and organise fun events/outings/holidays,5000,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,FOOTBALL IN THE COMMUNITY(VITTLE        ,6053326,Sports sessions for disabled children particularly Downs Syndrome,4121,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,HOLLOW LANE CLUB                        ,1102630,"Summer club activities and aiming to provide Saturday club, siblings group for disabled children",5000,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,HOLLOW LANE CLUB                        ,1102630,"After school club, Saturday club, siblings group and summer camp for disabled children across Devon",5000,Revenue
EDLCS,CSW,22/03/2017,fy 2016/17,ILFRACOMBE PARENT CARERS SUPPORT        ,None - Parent led,"Peer support for 30 parent carers and some young carers, provides year round provision to include children in the summer",2500,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,Acorns Communication and Movement Group,None - Parent led,Speech and language activities and resources for down syndrome children,3000,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,MOORVISION                              ,1130826,"Support, information, activities, parent/carer training for blind and visually impaired children and young people throughout Devon",5000,Revenue
EDLCS,CSW,11/01/2017,fy 2016/17,MOVE AND LEARN                          ,none,Supports families with children with physical difficulties and additional needs by devising and facilitating therapeutic movement programmes,3101,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,NORTH DEVON FORUM FOR AUTISM            ,1172597,"Parent led support group providing activities and trips for the whole family, information sessions and and coffee mornings (part funded to pay for activities that are specifically for the disabled children",3000,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,OGWELL PRE-SCHOOL                       ,1022438,Equipment for sensory room for children who have an aspect of SEND,2700,Revenue
EDLCS,CSW,21/12/2017,fy 2017/18,SAFEBREAKS HOLIDAYS,7406691,Resources for clubs and activities enabling and support for young people with additional needs,4110,Revenue
EDLCS,CSW,20/12/2017,fy 2017/18,SOUTH DEVON ASPERGERS GROUP             ,1132344,Voluntary parent led self help group to help provide support for children 5-18 with learning disabliites. Regular meetings during term time and days out during the summer,5000,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,SOUTH WEST AUTISM CIC                   ,8800843,Provide a bespoke range of services for children on the Autistic spectrum and their families,5000,Revenue
EDLCS,CSW,01/03/2017,fy 2016/17,SPECIAL OLYMPICS NORTH DEVON            ,800329,Funds to support their weekly training programme for 50 young people to take 4 young people to the special olympics in Sheffield and to purchase equipment (North Devon),4198,Revenue
EDLCS,CSW,19/12/2017,fy 2017/18,SPLASH                                  ,1043693,Holiday playscheme for children with severe and complex learning disabilities and physical disabilities,5000,Revenue
EDLCS,CSW,14/02/2017,fy 2016/17,WINGS SOUTH WEST_ (BIDEFORD)            ,10829378,Sport Club for 11-16 year olds and a youth group,4838,Revenue
EDLCS,EAL,29/03/2017,Jan - March 2017,Uffculme Pre-School Committee,1029966,Towards Spring Term wage costs,3146.53,Revenue
EDLCS,EAL,02/08/2017,July - March 2017,Westbank Community Health and Care,1119541,Towards staffing costs for 1-1 Inclusion for Holiday Club,2000,Revenue
EDLCS,EAL,10/11/2017,to be spent by 1st Feb 2018,Lympstone Learning Alliance,1168920,To enable Lympstone Pre-school to provide 39 places all year round as part of the extended entitlement for working families,4000,Revenue
CoPHEP,Communities,01/04/2017,2017/18,CAB DEVON - DIX'S FIELD                 ,1091143,Support Grant,400000,Revenue
CoPHEP,Communities,01/04/2017,2017/18,DEVON COMMUNITIES TOGETHER              ,1074047,Support Grant,72000,Revenue
CoPHEP,Communities,13/02/2017,2017/18,DEVON GRAPEVINE & OLIVE TREE CIC        ,company 08520553 CIC,Syrian Refugee resettlement support,29652,Revenue
CoPHEP,Communities,08/09/2017,2017/18,EXETER C V S                            ,1100990,Volunteer platform,5000,Revenue
CoPHEP,Communities,21/09/2017,2017/18,EXETER RESPECT CIC                      ,company 08725612 CIC,SDP GRANT                               ,1000,Revenue
CoPHEP,Communities,22/06/2017,2017/18,HIKMAT SAHARA                           ,07809035,Syrian Refugee resettlement support,3732,Revenue
CoPHEP,Communities,05/07/2017,2017/18,OPEN DOORS INT'NTL LANGUAGE SCHL        ,1092728,Syrian Refugee resettlement support,10000,Revenue
CoPHEP,Communities,13/01/2017,2017/18,REFUGEE SUPPORT GROUP (DEVON)           ,1143884,Syrian Refugee resettlement support,134268,Revenue
CoPHEP,Communities,04/07/2017,2017/18,STUDENTS AND REFUGEES TOGETHER          ,1108113,Syrian Refugee resettlement support,21000,Revenue
CoPHEP,Communities,01/04/2017,2017/18,WEST DEVON COMMUNITY & VOLUNTARY        ,1119730,"Support thriving, resilient communities",151500,Revenue
CoPHEP,Communities,08 September 2017,Mar-2018,1ST BRADNINCH SCOUTS                    ,none,new Mess Tent,500,Revenue
CoPHEP,Communities,6.3.2017,31.3.2017,1ST CULMSTOCK SCOUT GROUP               ,none,for shed purchase ,500,Revenue
CoPHEP,Communities,7.3.2017,31.3.2017,1ST HEMYOCK BROWNIES                    ,none,for recruitment drive ,300,Revenue
CoPHEP,Communities,02.02.2017,Mar-2017,1ST HEMYOCK SCOUT GROUP                 ,none,Chuck wagon renovation,500,Revenue
CoPHEP,Communities,16 October 2017,01 December 2017,1ST MODBURY SCOUT GROUP                 ,none,Renovating an old football changing room to create a home for 1st Modburyscouts,500,Revenue
CoPHEP,Communities,1.3.2017,Mar-2017,1ST PINHOE SCOUTS                       ,271045,for transport costs to Jamboree,300,Revenue
CoPHEP,Communities,25 June 2017,01 September 2017,1ST SANDFORD SCOUTS GROUP               ,X98727,mini bus lite,500,Revenue
CoPHEP,Communities,04.02.2017,Mar-2017,1ST WILLAND BROWNIES                    ,none,Catering and storage equipment,500,Revenue
CoPHEP,Communities,1.3.2017,Mar-2017,2ND BUDLEIGH SALTERTON GUIDE CO         ,306016,for equipment ,340,Revenue
CoPHEP,Communities,08 August 2017,01 September 2017,2ND KINGSBRIDGE GUIDES                  ,none,Guide equipment,500,Revenue
CoPHEP,Communities,18-Sep-2017,Nov-2017,307 SQUADRON PROJECT                    ,1167606,exhibition & a plaque at Exeter Cathedral,800,Revenue
CoPHEP,Communities,06-Mar-2017,Mar-2017,339(SOUTH DARTMOOR)SQUADRON ATC         ,none,Sports equipment to aid Duke of Edinburgh Award Scheme,650,Revenue
CoPHEP,Communities,25 October 2017,01 March 2018,A I M S                                 ,Charity 1088238,Musical instruments,500,Revenue
CoPHEP,Communities,9.3.2017,Mar-2017,A R C (AXMINSTER)LTD                    ,charity 1127001,for training trauma specialist,500,Revenue
CoPHEP,Communities,26.01.2017,04.02.2017,A.I.M.S                                 ,Charity 1088238,Group visit to clip n climb,297,Revenue
CoPHEP,Communities,16 October 2017,Dec-2017,ABBOTSHAM VILLAGE HALL PLAYING          ,none,Remove & replace roof on village hall,1000,Revenue
CoPHEP,Communities,6.01.17,Mar-2017,ABUNDANCE FOOD CO-OPERATIVE             ,none,"To regenerate kitchen garden at Kennicott 6th Form college, KEVICS",1000,Revenue
CoPHEP,Communities,24-Oct-2017,01 March 2018,ACCESS HEALTH CARE LTD                  ,company 05720179,new clinical couch,800,Revenue
CoPHEP,Communities,01-Jan-2017,Jan-2017,ACTION EAST DEVON                       ,Charity 1134611,Branching Out - clothing for gardening clothing,530,Revenue
CoPHEP,Communities,1.30.2017,Mar-2017,ACTION EAST DEVON                       ,Charity 1134611,for development of allotment ,500,Revenue
CoPHEP,Communities,22 June 2017,01 August 2017,ACTION EAST DEVON                       ,Charity 1134611,summer activities for youth & families,500,Revenue
CoPHEP,Communities,2.2.2017,Mar-2017,ACTION EAST DEVON                       ,Charity 1134611,for seminar for East Devon parishes to engage in conversation about changes to adult care services delivery,800,Revenue
CoPHEP,Communities,29 September 2017,31 March 2018,ACTION FOR CHILDREN                     ,Charity 1097940,Purchase of sensory materials,250,Revenue
CoPHEP,Communities,Aug-2017,Sep-2017,ALPHINGTON COMMUNITY ASSOCIATION        ,charity 1001339,repair area around Alphington village hall,3000,Revenue
CoPHEP,Communities,30-Jan-2017,01-Mar-17,APPLEDORE COMMUNITY HALL TRUST          ,Charity No. 246022,replace broken window,1000,Revenue
CoPHEP,Communities,30-Jan-2017,Mar-2017,APPLEDORE KIDZ CLUB                     ,none,summer event,1000,Revenue
CoPHEP,Communities,15-Feb-2017,Mar-2017,APPLEDORE READING ROOM TRUST            ,none,Building Re-rendering,3000,Revenue
CoPHEP,Communities,10.3.2017,Mar-2017,ART WEEK EXETER CIC                     ,company 10387974 CIC,for interactive artwork for all ages ,500,Revenue
CoPHEP,Communities,27.02.2017,Mar-2017,ART WEEK EXETER CIC                     ,company 10387974 CIC,NOSE art project including New Bridge Street Mural ,2100.22,Revenue
CoPHEP,Communities,01 November 2017,01 December 2017,ASH THOMAS HALL FUND                    ,none,Upgrade kitchen,1500,Revenue
CoPHEP,Communities,20.02.2017,Mar-2017,ASHBURTON CRICKET CLUB                  ,5335,for pavillion improvements ,500,Revenue
CoPHEP,Communities,4.12.2017,01 March 2018,ASHBURTON FAMILY SERVICES               ,1076764,for rejuvenation of outside space ,850,Revenue
CoPHEP,Communities,13.02.2017,Mar-2017,ASHBURTON FOOTBALL CLUB                 ,None,Ground maintenance equipment,5000,Revenue
