Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
PEOPLE,CSWCP,11/10/16,2016/17,DEVON GRAPEVINE & OLIVE TREE CIC,8520553,Syrian refugee support,"2,980.00",Revenue
PEOPLE,CSWCP,11/10/16,01/11/16,EXMOUTH TOWN FOOTBALL CLUB,none,new furniture,"1,000.00",Revenue
PEOPLE,CSWCP,25/10/16,01/02/17,CLAWTON PARISH HALL,Charity 268492,Renovations and repairs,"1,000.00",Revenue
PEOPLE,CSWCP,25/10/16,31/03/17,SPLASH,,Aiming High for Disabled Grant,"5,000.00",Revenue
PEOPLE,CSWCP,27/10/16,01/03/17,ACTION EAST DEVON,none,Dragon's den application,530,Revenue
PEOPLE,CSWCP,28/10/16,01/12/16,CHAGFORD EDU & LEISURE TRUST,Charity 1070244,Expanding the skatepark in Chagford,500,Revenue
PEOPLE,CSWCP,31/10/16,01/11/16,SHARE MUSIC SOUTH WEST,Charity 1148695,Venue hire and catering costs for workshop,"1,000.00",Revenue
PLACE,EandE,09/11/15,31/03/16,Dartington Hall Trust,279756,Contribution to Social Entrepreneurs Project 15/16,"30,000.00",Revenue
PLACE,EandE,11/12/15,30/09/16,Freedom Social Enterprises (Projects),6628989,CISS to reduce reliance on grant funding and commissioning to ensure organisational sustainability and reduce benefit dependency for those most affected by welfare reform:,"29,500.00",Revenue
PLACE,EandE,11/12/15,30/09/16,Exeter Community Initiatives,2844870,CISS to reduce reliance on grant funding and commissioning to ensure organisational sustainability and reduce benefit dependency for those most affected by welfare reform:,"15,042.00",Revenue
PLACE,EandE,06/01/16,30/09/16,St Sidwells Centre,6434019,CISS to reduce reliance on grant funding and commissioning to ensure organisational sustainability and reduce benefit dependency for those most affected by welfare reform:,"29,232.00",Revenue
PLACE,EandE,08/01/16,31/03/16,Young Devon (Ivybridge),3240655,CISS to reduce reliance on grant funding and commissioning to ensure organisational sustainability and reduce benefit dependency for those most affected by welfare reform:,"10,000.00",Revenue
PLACE,EandE,12/01/16,30/09/16,The Trill Trust,4172005,CISS to reduce reliance on grant funding and commissioning to ensure organisational sustainability and reduce benefit dependency for those most affected by welfare reform:,"21,000.00",Revenue
PLACE,EandE,30/03/16,31/03/16,Devon Association of Tourist Attractions,,Contribution to cost of setting up Visit Devon,"20,000.00",Revenue
PLACE,EandE,01/06/16,03/05/17,Budleigh Literacy Festival,1258,Contribution towards permanent installation of electricity to the green,"4,679.15",Capital
PLACE,EandE,15/08/16,03/05/17,Topsham Swimming Pool Association,1295,Renovations,"5,000.00",Capital
PLACE,EandE,24/08/16,07/09/16,MAKE A DIFFERENCE TAVISTOCK,Charity 1115768,Freezer for kitchen,200,Revenue
PLACE,Highways,28/06/16,01/03/17,EXETER RESPECT CIC,8725612,for annual event,250,Revenue
PLACE,PT&E,30/03/16,31/03/16,Living Options Devon,1102489,Bus Shelter Contribution,"3,082.08",Revenue
PLACE,PTE,19/01/16,01/03/17,WONFORD COMM & LEARNING CNTR LTD,Charity 1116666 Company 05908666,for conversion of the Phoenix Centre,"2,270.00",Revenue
PLACE,PTE,28/01/16,31/05/17,SHALDON 1785 COMMITTEE,None,Evening entertainment for children on village green,"1,250.00",Revenue
PLACE,PTE,16/11/15,01/04/2015-31/03/2016,TATWORTH & FORTON PARISH CHURCH,,DEFRA Funded Sustainable Development Fund Grant - Final Claim,838.27,Revenue
PLACE,PTE,20/11/15,01/04/2015-31/03/2016,CHARDSTOCK PARISH COUNCIL,,DEFRA Funded Sustainable Development Fund Grant - Final Claim,732,Revenue
PLACE,PTE,20/11/15,01/04/2015-31/03/2016,CHURCHSTANTON PARISH COUNCIL,,DEFRA Funded Sustainable Development Fund Grant - Final Claim,594.84,Revenue
PLACE,PTE,19/01/16,01/07/16,OTTERY ST MARY HERITAGE SOCIETY,none,for Pattesons Cross Refurbishment,500,Revenue
PLACE,PTE,28/01/16,01/07/16,CLIFF HOUSE TRUST LTD,1146359,for refurbishment,"1,000.00",Revenue
PLACE,PTE,04/02/16,01/04/2015-31/03/2016,NORTH DEVON ENVIRONMENTAL TRUST,296707,DEFRA Funded Sustainable Development Fund Grant - Final Claim,500,Revenue
PLACE,PTE,04/02/16,01/04/2015-31/03/2016,HARTLAND POST THE,,DEFRA Funded Sustainable Development Fund Grant - Final Claim,750,Revenue
PLACE,PTE,12/02/16,01/04/2015-31/03/2016,ORCHARDS LIVE,1142258,DEFRA Funded Sustainable Development Fund Grant - Final Claim,692.35,Revenue
PLACE,PTE,15/02/16,01/04/2015-31/03/2016,NORTH DEVON BIOSPHERE FOUNDATION,1156589,Contribution to Woodland Enterprise Development,"4,500.00",Revenue
PLACE,PTE,07/03/16,01/04/2015-31/03/2016,NORTH DEVON BIOSPHERE FOUNDATION,1156589,Development of marine funded programme for N Devon,"4,500.00",Revenue
PLACE,PTE,11/03/16,01/06/16,EXETER SCRAPSTORE,1143182,for publicity for events,600,Revenue
PLACE,PTE,14/03/16,01/04/2015-31/03/2016,TARKA COUNTRY TRUST,1077996,Contribution to the Verges project hosted by Tarka County Trust,"1,000.00",Revenue
PLACE,PTE,24/03/16,01/04/2015-31/03/2016,BLACKDOWN HILLS TRUST,1138327,DEFRA Funded Sustainable Development Fund Grant - Final Claim,507,Revenue
PLACE,PTE,24/03/16,01/11/16,PETE'S DRAGONS,Charity 1160644,for suicide bereavement support,250,Revenue
PLACE,PTE,01/06/16,01/09/16,NORTH DEVON SUNRISE,CIC no 8462590,North Devon Diversity Festival,100,Revenue
PLACE,PTE,25/07/16,03/05/17,Halwill Football Club,1286,Contribution towards new changing facilities for Halwill Parish,"1,000.00",Capital
PLACE,PTE,11/08/16,30/09/16,Wings South West,1082938,CISS to reduce reliance on grant funding and commissioning to ensure organisational sustainability and reduce benefit dependency for those most affected by welfare reform:,"9,820.00",Revenue
PLACE,PTE,12/08/16,03/05/17,Alphington Community Association,1298,Replace heating in Alphington Community Centre Art Block,"4,000.00",Capital
PLACE,PTE,25/10/16,31/03/17,O C R A,,Aiming High for Disabled Grant,"4,750.00",Revenue
PLACE,SfC,15/06/06,15/12/16,IVYBRIDGE & DISTRICT C T A,Charity 1123577 Company 6519453,Ring & Ride & voluntary car service,"1,500.00",Revenue
PLACE,SfC,18/07/06,31/01/17,TIVERTON TOWN MAJORETTES,None,Replacement pom poms,837,Revenue
PLACE,SfC,19/07/06,31/03/17,S O S GLOBAL,none,disadvantaged - not me project,965,Revenue
PLACE,SfC,22/07/06,01/09/16,EXCELSIOR ATHLETIC DEV CLUB CIC,CIC 9657880,Gymnastics mat,500,Revenue
PLACE,SfC,03/01/16,03/11/16,ALL SAINTS PRE SCHOOL (EXMOUTH),Charity 1026646,two year toddling & sensory exploration,800,Revenue
PLACE,SfC,03/01/16,01/03/17,EAST DEVON CITZENS ADVICE BUREAU,none,decoration & branding changes & advertising of new address,"2,000.00",Revenue
PLACE,SfC,06/01/16,01/02/17,TOTNES CARING LTD,Charity 1112436,set up Caring Town Centre,"1,500.00",Revenue
PLACE,SfC,06/01/16,01/03/17,TRANSITION TOWN TOTNES,Charity 1138865,Incredible Edible Totnes,300,Revenue
PLACE,SfC,07/01/16,01/03/17,EXMOUTH GATEWAY CLUB,Charity 1145306,Multi Adaptable Mini bus,"1,000.00",Revenue
PLACE,SfC,07/01/16,01/03/17,KINGSTON PARISH COUNCIL for Kingston Art Group,none,purchase of 3 portable display boards,300,Revenue
PLACE,SfC,07/01/16,01/03/17,NEWTON & NOSS NETWORK,none,Ipads for the Dementia Friendly,"1,145.00",Revenue
PLACE,SfC,08/01/16,08/11/16,EXMOUTH FAIRTRADE TOWN STRNG GRP,none,Smoothie bike & Gazebo,209,Revenue
PLACE,SfC,08/01/16,01/11/16,BITTAFORD COMMUNITY HALL,none,"Purchase of new planters, pots and plants",300,Revenue
PLACE,SfC,08/01/16,01/03/17,TOTNES ALLOTMENT ASSOCIATION,none,Improved access path,550,Revenue
PLACE,SfC,23/02/16,01/12/16,EXMOUTH BEACH RESCUE CLUB,1025654,for purchase of 3 fully adjustable skis,"4,350.00",Revenue
PLACE,SfC,24/02/16,01/05/17,WATTS BLAKE BEARNE AFC,None,Purchase of a new grass cutter,500,Revenue
PLACE,SfC,29/02/16,01/05/16,STAIRWAYS,none,for website design,150,Revenue
PLACE,SfC,01/03/16,01/09/16,EXETERBABIES.CO.UK,None,"Breastfeeding Support Group opening costs, Public Liability Insurance",222,Revenue
PLACE,SfC,02/03/16,01/03/17,LIONS CLUB OF EXETER,1141772,for party in the park,"1,000.00",Revenue
PLACE,SfC,08/03/16,01/12/16,SHAUGH PRIOR PARISH NEWS,none,for printing of parish magazine,"1,000.00",Revenue
PLACE,SfC,14/03/16,01/09/16,TEIGN HARBOUR COMMISSION,none,for security camera's,500,Revenue
PLACE,SfC,15/03/16,01/03/16,EXETER COMMUNITY TRANSPORT ASSOC,1129560,for assistance to purchase Genny mobility scooter,750,Revenue
PLACE,SfC,16/03/16,31/03/17,PADDLEBOAT THEATRE,9273936,for drama workshops,204,Revenue
PLACE,SfC,16/03/16,01/06/16,MAGELAKE HALL,Charity 300999,Storage container for salt supply,800,Revenue
PLACE,SfC,17/03/16,01/10/16,LEE MILL COMMUNITY ASSOCIATION,Charity 1121641,New folding tables,500,Revenue
PLACE,SfC,21/03/16,21/06/16,BRADNINCH BOWLS CLUB,None,Buggy for disabled players,500,Revenue
PLACE,SfC,22/03/16,01/09/16,FOOD IN COMMUNITY CIC,8492527,for expansion of project,250,Revenue
PLACE,SfC,22/03/16,01/03/17,EAGLES ACROBATICS,none,to assist with hall hire costs,800,Revenue
PLACE,SfC,27/03/16,01/07/16,DEVON WILDLIFE TRUST,213224,for Grape Twining wildlife,200,Revenue
PLACE,SfC,29/03/16,01/09/16,SIDMOUTH AMATEUR RADIO SOCIETY,none,for equipment,"1,500.00",Revenue
PLACE,SfC,31/03/16,10/05/16,CHUDLEIGH WRITERS CIRCLE,none,for literary festival for venue costs,500,Revenue
PLACE,SfC,02/04/16,01/01/17,RIVER TEIGN SEA SCOUTS,305638,Installation of a kitchen in the scout hut,500,Revenue
PLACE,SfC,02/04/16,01/03/17,FRIENDS OF KINGSKERSWELL LIBRARY,none,for printed hard copy of directory,250,Revenue
PLACE,SfC,04/04/16,01/05/16,DARTMOUTH TOURIST INFO CENTRE,none,to create walking trail map with info,"2,000.00",Revenue
PLACE,SfC,05/04/16,01/03/17,EAST TEIGNBRIDGE C T A,1154936,for marketing for recruitment for volunteers,"1,000.00",Revenue
PLACE,SfC,06/04/16,01/06/16,SHALDON PRE SCHOOL,none,for equipment,500,Revenue
PLACE,SfC,06/04/16,01/03/17,RATCLIFF HAYLEY/RIVERSIDE RUNNER,none,for equipment,300,Revenue
PLACE,SfC,07/04/16,01/07/16,IDE CHILDCARE TRUST,1099449,roof repairs for mobile classroom,"2,000.00",Revenue
PLACE,SfC,07/04/16,01/03/17,WEMBURY CARING VOLUNTEERS,none,for befriending service,"1,000.00",Revenue
PLACE,SfC,07/04/16,01/03/17,DAWLISH CHORAL SOCIETY,1094785,for advertising performances,200,Revenue
PLACE,SfC,10/04/16,01/03/17,EXETER RESIDENTS ASSOCIATION,none,for start up costs for new Association,150,Revenue
PLACE,SfC,13/04/16,30/06/16,INVOLVE,Charity 298345,Upgrade IT systems,796,Revenue
PLACE,SfC,14/04/16,01/03/17,EAST DEVON CITZENS ADVICE BUREAU,Charity 1115963 Company 05820956,Review of outreach services,935,Revenue
PLACE,SfC,15/04/16,01/07/16,EXETER COMMUNITY TRANSPORT ASSOC,1129560,for assistance to purchase Genny mobility scooter,500,Revenue
PLACE,SfC,19/04/16,11/01/2016-31/03/2016,Kingsbridge Community Cadets,,Flood Community resilience grant - Distributed by Devon Communities Together,"2,000.00",Revenue
PLACE,SfC,19/04/16,01/01/17,APRICOT CENTRE CIC THE,Company 07298409,planting fruit trees to aid educational & social events,"1,000.00",Revenue
PLACE,SfC,19/04/16,01/02/17,BONIFACE TRAIL ASSOCIATION,Charity 1168111,Engineers report for part of the route,"2,000.00",Revenue
PLACE,SfC,20/04/16,17/07/16,ROTARY CLUB OF TIVERTON,1052252,Funday in People's Park,"1,000.00",Revenue
PLACE,SfC,20/04/16,01/07/16,IVYBRIDGE RAIL USERS GROUP,none,for new leaflet,200,Revenue
PLACE,SfC,20/04/16,01/08/16,MARLDON VILLAGE HALL COUNCIL,none,for new gazebo for Apple Pie Fair,500,Revenue
PLACE,SfC,22/04/16,01/03/17,CULLOMPTON TOWN COUNCIL Collumpton Town Team,None,Spring Food and Drink Festival,"1,000.00",Revenue
PLACE,SfC,25/04/16,01/09/16,IPPLEPEN CRICKET CLUB,none,for repairs to practice nets,500,Revenue
PLACE,SfC,25/04/16,01/09/16,SYLVANIA PLAY & COMM FAC ASSOC,293484,for fun day on 3rd Aug,400,Revenue
PLACE,SfC,25/04/16,01/03/17,HOMELESS IN TEIGNBRIDGE SUPPORT,none,to support people across Teignbridge area in crisis,"3,000.00",Revenue
PLACE,SfC,26/04/16,01/03/17,EXMOUTH PILOT GIG CLUB,none,to assist with purchase of new gig,500,Revenue
PLACE,SfC,27/04/16,30/10/16,TIVERTON & MID DEVON MUSEUM TRST,Charity 239531,All Aboard sculpture trail,"1,000.00",Revenue
PLACE,SfC,27/04/16,01/03/17,EXMINSTER YOUTH CLUB (THE POINT),none,for equipment & security measures on premises,500,Revenue
PLACE,SfC,03/05/16,01/06/16,DAWLISH ARTS FESTIVAL LTD,"1166142, 8546761",for advertising Arts Festival,250,Revenue
PLACE,SfC,04/05/16,01/11/16,DARTMOUTH & DIST INDOOR POOL TST,none,for health & safety equipment,"1,000.00",Revenue
PLACE,SfC,05/05/16,Autumn/Winter 2016,BAMPTON HERITAGE & VISITORS CTRE,Charity 1156194,Fleece jackets for volunteers,250,Revenue
PLACE,SfC,05/05/16,01/03/17,FOOD IN COMMUNITY CIC,none,"for new bus stop @ Blackpost Lane, Totnes","1,040.00",Revenue
PLACE,SfC,06/05/16,28/05/17,CULM VALLEY COMETS BASKETBALL,None,Equipment upgrade,200,Revenue
PLACE,SfC,06/05/16,July 2016-March 2017,TIVERTON ADVENTURE PLAY,1146910,Lara's Treehouse,"1,000.00",Revenue
PLACE,SfC,06/05/16,01/03/16,CULM VALLEY YOUTH FC,None,League entry and pitch rent,212,Revenue
PLACE,SfC,06/05/16,01/03/17,CORNWORTHY TOWER & RESTORATION,none,for assistance with refurbishment of bell tower,750,Revenue
PLACE,SfC,06/05/16,01/03/17,TEIGNMOUTH LEARNING CENTRE,1086678,for weekly drop in work sessions,250,Revenue
PLACE,SfC,08/05/16,01/06/16,IPPLEPEN VILLAGE HALL,300875,for refreshment making station at side of hall,500,Revenue
PLACE,SfC,09/05/16,01/03/17,NORTHCOTT THEATRE EXETER,1151620,for multi sensory production for people with profound and multiple learning difficulties,500,Revenue
PLACE,SfC,11/05/16,01/09/16,CORNWOOD AGR & HORT SOCIETY,287054,for sheep hurdles,500,Revenue
PLACE,SfC,12/05/16,12/07/16,AGE CONCERN CREDITON,1008497,Replacement patio doors,"1,000.00",Revenue
PLACE,SfC,12/05/16,01/10/16,COUNTESS WEAR COFFEE CLUB,none,for public liability insurance,500,Revenue
PLACE,SfC,12/05/16,01/03/17,ACTION FOR CHILDREN (WHIPTON),none,for new fence,750,Revenue
PLACE,SfC,14/05/16,01/01/16,IVYBRIDGE RUGBY CLUB (TOUR A/C),Charity 7592665,IRFC Mini junior Rugby Tour,500,Revenue
PLACE,SfC,16/05/16,01/11/16,STOKE HILL COMMUNITY ASSOCIATION,283907,for boundary improvements,"2,900.00",Revenue
PLACE,SfC,16/05/16,01/03/17,IVYBRIDGE RUGBY FOOTBALL CLUB LT,none,for new under 10 kit,"1,008.00",Revenue
PLACE,SfC,17/05/16,01/12/16,WOOLWELL CENTRE,Charity 1071238,Christmas community Lunch,200,Revenue
PLACE,SfC,17/05/16,01/12/16,EXCELSIOR ATHLETIC DEV CLUB CIC,CIC 9657880,Purchase of a mini trampette,525.6,Revenue
PLACE,SfC,18/05/16,01/12/16,OPERATION HENRY,none,to assist with 2 community treks,475,Revenue
PLACE,SfC,18/05/16,01/01/17,CULLOMPTON ACE MAJORETTES,None,New uniforms for 20 girls,350,Revenue
PLACE,SfC,18/05/16,01/03/17,TEIGNMOUTH RFC,none,for new kit,"1,250.00",Revenue
PLACE,SfC,21/05/16,01/11/16,CLYST CARING FRIENDS,105067,for production of booklet to record the history of Broadclyst,500,Revenue
PLACE,SfC,23/05/16,01/03/17,SIDMOUTH TWINNING CIRCLE,none,to develop international links with Le Locle,500,Revenue
PLACE,SfC,25/05/16,01/09/16,JR EVENT SERVICES,none,for promotional information for event,"2,750.00",Revenue
PLACE,SfC,26/05/16,01/08/16,EAST PORTLEMOUTH VILLAGE HALL,300822,for replacement cooker,500,Revenue
PLACE,SfC,26/05/16,01/10/16,WELCOME CENTRE CIC THE,9296761,for equipment,490.82,Revenue
PLACE,SfC,27/05/16,01/03/17,BAY FM RADIO,Company 06012335,for transmission improvements,"5,000.00",Revenue
PLACE,SfC,31/05/16,01/07/16,MORETONHAMPSTEAD COMMUNITY CLUB,900427,for replacement storage shed,250,Revenue
PLACE,SfC,02/06/16,01/10/16,SIDMOUTH SCIENCE FESTIVAL,1168115,for venue costs,500,Revenue
PLACE,SfC,03/06/16,01/07/16,TEIGNMOUTH THUNDERBIRDS NETBALL,none,for new kit,750,Revenue
PLACE,SfC,06/06/16,02/01/17,IPPLEPEN METHODIST CHURCH Community Hub,None,To purchase a defibrillator,900,Revenue
PLACE,SfC,06/06/16,01/03/17,AGE CONCERN TEIGNMOUTH & SHALDON,800996 & 2338079,resurfacing surface entrance way to Alice Cross Community Centre and new signs,"1,000.00",Revenue
PLACE,SfC,06/06/16,01/03/17,SOUTH WEST HERITAGE TRUST,Charity 1158791 Company 09053532,Pike Ward exhibition 2017,"2,000.00",Revenue
PLACE,SfC,07/06/16,30/07/16,PINCES 1 ALLOTMENTS,none,for Polytunnel,150.35,Revenue
PLACE,SfC,08/06/16,05/09/16,WEMBWORTHY VILLAGE HALL,259656,New fascias and guttering,500,Revenue
PLACE,SfC,08/06/16,30/04/17,STOKEINTEIGNHEAD TWINNING ASSOC,none,To pay for village hospitalities for the 40th visit of our French Twinning Group,500,Revenue
PLACE,SfC,08/06/16,01/08/16,THORVERTON MEMORIAL HALL,203778,Purchase of 2 storage sheds,400,Revenue
PLACE,SfC,08/06/16,01/03/17,COMBEINTEIGNHEAD VILLAGE HALL,Charity 202712,Hall revitalisation,"1,000.00",Revenue
PLACE,SfC,09/06/16,01/09/16,LODGE HILL RESIDENTS ASSOCIATION,none,for tree pruning,580,Revenue
PLACE,SfC,10/06/16,31/03/16,TURNING TIDES PROJECT CIC,Company 9053146,Making Waves Crediton multi media project day,500,Revenue
PLACE,SfC,12/06/16,01/04/17,LAPFORD ALLOTMENT ASSOCIATION,None,Purchase of land,"3,000.00",Revenue
PLACE,SfC,14/06/16,01/03/17,AGE UK EXETER,1010973,for swimming for the elderly,"1,000.00",Revenue
PLACE,SfC,14/06/16,01/03/17,AGE UK EXETER,1010973,for Beacon Heath pop in to alleviate isolation,"1,000.00",Revenue
PLACE,SfC,15/06/16,01/08/16,KILMINGTON VILLAGE HALL,291939,for new fire doors in main hall,500,Revenue
PLACE,SfC,15/06/16,01/09/16,KENTON IN BLOOM,none,for new planters for main road,200,Revenue
PLACE,SfC,15/06/16,01/03/17,DARTMOUTH CARING,Charity 900226,Planning & development of plans for health & wellbeing centre,"1,000.00",Revenue
PLACE,SfC,15/06/16,01/03/17,LYMPSTONE AMATEUR BOXING CLUB,none,for replacement equipment,"1,000.00",Revenue
PLACE,SfC,16/06/16,09/04/16,KENTISBEARE PERFORMING ARTS,none,Devized,150,Revenue
PLACE,SfC,20/06/16,01/03/16,WONFORD COMM & LEARNING CNTR LTD,Charity 1116666 Company 05908666,for assistance with newsletter distribution,234,Revenue
PLACE,SfC,20/06/16,01/07/16,TEIGN VALLEY COMMUNITY HALL,none,for HMQ's 90 B'day celebrations,100,Revenue
PLACE,SfC,20/06/16,01/03/17,TWO MOORS WAY ASSOCIATION,none,for revitalising Two Moors Way,600,Revenue
PLACE,SfC,20/06/16,01/03/17,MOORHAVEN VILLAGE MANAGEMENT,2885392,for defibrillator,"1,000.00",Revenue
PLACE,SfC,21/06/16,18/01/17,AGE CONCERN CREDITON,1008497,Gardening with a disability - raised beds,500,Revenue
PLACE,SfC,21/06/16,01/12/16,SIDBURY VILLAGE HALL,1000282,for purchase of defibrillator,500,Revenue
PLACE,SfC,21/06/16,01/03/17,SIRONA THERAPEUTIC HORSEMANSHIP,6570184,for new portacabins/classroom,500,Revenue
PLACE,SfC,21/06/16,01/03/17,INSTITUTE THE,none,for refurbishment of building,"1,000.00",Revenue
PLACE,SfC,22/06/16,03/12/16,BRADNINCH ARTS GROUP,None,Rehearsal space for theatre production,200,Revenue
PLACE,SfC,22/06/16,01/08/16,CULLOMPTON RANGERS FOOTBALL CLUB,None,New line marking machine,350,Revenue
PLACE,SfC,22/06/16,01/03/17,HAWKES,none,to assist with hall hire costs,500,Revenue
PLACE,SfC,22/06/16,01/03/17,KALEIDOSCOPE SOUTH HAMS LTD,1091223,for basket ball court hire fees,480,Revenue
PLACE,SfC,22/06/16,01/03/17,KINGSBRIDGE & SALCOMBE HOCKEY CL,none,to assist with pitch hire costs,"1,000.00",Revenue
PLACE,SfC,25/06/16,01/03/17,NEWTON ABBOT BEEKEEPERS/BBKA,270675,for equipment and storage space,"1,000.00",Revenue
PLACE,SfC,27/06/16,30/09/16,SAINT BONIFACE CONCERTS SOCIETY,Charity 282441,Concert by Galliarda,200,Revenue
PLACE,SfC,27/06/16,01/07/16,BRADNINCH FESTIVAL CHOIR,None,Tiered staging,300,Revenue
PLACE,SfC,05/07/16,01/09/16,WREN MUSIC,Charity 1128790 Company 6774932,for workshops in Wonford,"3,000.00",Revenue
PLACE,SfC,06/07/16,01/06/16,ALPHINGTON YOUTH F C,none,to help with transport costs for under 16's tour,500,Revenue
PLACE,SfC,07/07/16,30/07/16,PINCES 1 ALLOTMENTS,none,for tree pruning,"1,056.00",Revenue
PLACE,SfC,07/07/16,01/03/17,IVYBRIDGE CARING,1135960,for rental of office space,400,Revenue
PLACE,SfC,08/07/16,16/12/16,KINGSWAY RESIDENTS ASSOCIATION,1145886,Running costs for 2 Youth Groups,"2,000.00",Revenue
PLACE,SfC,11/07/16,01/07/16,EXETER RESPECT CIC,none,for hire of stage and other equipment,"1,000.00",Revenue
PLACE,SfC,12/07/16,04/11/16,STOKE HILL MIDDLE SCHOOL PTA,1147398,To provide first aid cover and lighting for the firework event,300,Revenue
PLACE,SfC,12/07/16,31/03/17,CULLOMPTON BOWLING CLUB,None,Safety fancing,500,Revenue
PLACE,SfC,12/07/16,01/10/16,NOURISH FESTIVAL LTD,Company 08710144,for food craft and music festival,"2,000.00",Revenue
PLACE,SfC,13/07/16,18/11/16,TEIGNMOUTH JAZZ,Charity 1086155,Hire of pavilions for Teignmouth Jazz & Blues Festival,"1,000.00",Revenue
PLACE,SfC,13/07/16,01/02/17,WEMBURY LOCAL HISTORY SOCIETY,none,Electric projection screen in Wembury War Memorial Hall,300,Revenue
PLACE,SfC,15/07/16,31/03/17,WASP WONFORD & ST PAULS PROJECT,1133800,for repairs to rear door and windows of the Old Post Office,525,Revenue
PLACE,SfC,16/07/16,30/07/16,BLACKDOWN HILLS PARISH NETWORK,none,for updating website,500,Revenue
PLACE,SfC,17/07/16,Winter 16/17,NEWTON ABBOT CTA,Charity 1124719 Company 6508034,Replacement of NACTA's portacabin,750,Revenue
PLACE,SfC,18/07/16,01/03/17,BOVEY TRACEY ACTIVITIES TRUST,299932,to replace lighting in the Phoenix Hall,"2,000.00",Revenue
PLACE,SfC,20/07/16,01/03/16,SOUTH DARTMOOR COMMUNITY ENERGY,RS007353,Design & Purchase promotional material,400,Revenue
PLACE,SfC,22/07/16,01/03/17,DEVON FED OF YOUNG FARMERS CLUB,Charity 1098759,for refurbishment of community building,100,Revenue
PLACE,SfC,22/07/16,01/03/17,CAROUSEL TOY LIBRARY,1100532,for new equipment,560,Revenue
PLACE,SfC,22/07/16,01/06/17,SILVERTON MEMORY CAFE,None,Running costs,350,Revenue
PLACE,SfC,24/07/16,01/03/17,EXETER CITIZENS ADVICE BUREAU,Charity No: 1091143 Company No: 4334063,Alphington and Cowick,"1,000.00",Revenue
PLACE,SfC,25/07/16,01/07/16,SILVERTON FOOTBALL CLUB,None,"Maintenance including goal posts, fencing and lawn mower",150,Revenue
PLACE,SfC,25/07/16,01/03/17,YOUNG AT HEART CLUB,None,Purchase of equipment for club expansion into Tiverton,"1,800.00",Revenue
PLACE,SfC,26/07/16,01/12/16,ST DAVIDS HILL PLAYGROUP,308207,for new stair carpet,550,Revenue
PLACE,SfC,26/07/16,01/03/17,BUDLEIGH FOOD & DRINK FESTIVAL,None,for advertising,"2,000.00",Revenue
PLACE,SfC,27/07/16,01/03/17,FAMILY ADVICE SUPPORT TEAM,8807770,for new equipment,350,Revenue
PLACE,SfC,28/07/16,01/09/16,STOKE GABRIEL CRICKET CLUB,none,for purchase of gang mower,"1,000.00",Revenue
PLACE,SfC,28/07/16,01/09/16,ALPHINGTON SCOUT GROUP,XR47043,to purchase new equipment for camping,500,Revenue
