Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,Services for Communities,15/03/12,3/5/2017,St Disens Church Bradninch Church Council,640,Disabled ramp to churchyard,1500,Capital
Place,Services for Communities,23/11/12,3/5/2017,Coldharbour Mill Trust                  ,794,Roof repairs,2800,Capital
Place,Services for Communities,28/02/13,3/5/2017,Horrabridge Youth Club                  ,959,Equipment,2787.59,Capital
Place,Services for Communities,31/01/14,3/5/2017,Bay FM Community Radio ,1003,Transmitter mast,2700,Capital
Place,Services for Communities,30/09/08,3/5/2017,Copplestone Recreation Association        ,184,Construction of a new pavillion,4796.06,Capital
Place,Services for Communities,23/06/11,3/5/2017,Greener Ilfracombe Ltd                  ,496,Laston Green Community Garden,2045,Capital
Place,Services for Communities,16/01/12,3/5/2017,Newton Abbot Community Trust            ,602,"Golden Lion Square, Newton Abbot - Purchase of public amenity area",10000,Capital
Place,Services for Communities,12/6/2012,3/5/2017,Newton Abbot Community Trust            ,602,"Golden Lion Square, Newton Abbot - Purchase of public amenity area",3000,Capital
Place,Services for Communities,5/4/2012,3/5/2017,Newton Ferrers & Noss Mayo WI,660,Community Hall - Renovation,1233,Capital
Place,Services for Communities,28/02/13,3/5/2017,Newton Ferrers & Noss Mayo WI,946,Community Hall - Renovation,5000,Capital
Place,Services for Communities,28/08/12,3/5/2017,Swimbridge Village Hall                 ,730,Hall Improvement Scheme,3520,Capital
Place,Services for Communities,28/01/13,3/5/2017,Stoke Rivers Village Hall               ,897,Restoration works,3836.27,Capital
Place,Services for Communities,3/6/2014,3/5/2017,Cheriton Fitzpaine Parish Hall ,1014,Refurbishment of parish hall,648,Capital
Place,Services for Communities,28/02/13,3/5/2017,1St Silverton Scout Group               ,922,Mini bus replacement,600,Capital
Place,Services for Communities,1/5/2014,3/5/2017,Fouracre Residents Association (Keep)                            ,1010,Fencing,750,Capital
Place,Services for Communities,3/2/2012,3/5/2017,Combeinteignhead Village Hall           ,620,New roof,1027,Capital
Place,Services for Communities,28/07/14,3/5/2017,Totnes Community Bus                    ,1029,Ticket Machine and printer,2500,Capital
Place,Services for Communities,12/6/2012,3/5/2017,Whitchurch Pre School                   ,703,Renovations,1000,Capital
Place,Services for Communities,22/11/11,3/5/2017,Bike Shed Theatre Productions           ,558,Improvements to the auditorium,500,Capital
Place,Services for Communities,1/5/2014,3/5/2017,Parkham Allardice Hall                  ,1009,Parkham Village Hall renovation,3000,Capital
Place,Services for Communities,21/12/12,3/5/2017,Morchard Bishop Pre-School              ,807,New build project ,2000,Capital
Place,Services for Communities,28/02/13,3/5/2017,Citizens Advice Bureau (Exeter)          ,994,Premises improvements,6000,Capital
Place,Services for Communities,28/10/13,3/5/2017,Musbury Moles Pre School                ,998,Climbing frame,1200,Capital
Place,Services for Communities,27/05/14,3/5/2017,Wembury War Memorial Village Hall,1015,Construction of ambulatory toilet & baby changing faclities,2500,Capital
Place,Services for Communities,27/05/14,3/5/2017,Friends of Kingsteignton Library        ,1017,Kingsteignton Library - enhancement to patio area,2988,Capital
Place,Services for Communities,28/07/14,3/5/2017,Bridgerule Village Hall Ltd             ,1031,Refurbishment of village hall,1000,Capital
Place,Services for Communities,28/08/14,3/5/2017,16th Exeter Scout Group                 ,1034,New central heating boiler installation,1000,Capital
Place,Services for Communities,3/10/2014,3/5/2017,Citizens Advice Bureau (Exeter)          ,1055,Premises improvements,2000,Capital
Place,Services for Communities,28/01/13,3/5/2017,Otterton Community Shop Ltd             ,911,Otterton Village Shop - Fittings,1500,Capital
Place,Services for Communities,28/02/13,3/5/2017,Devonshire Place Residents Association,955,"Devonshire Place Orchard, Exeter - Regeneration project",4500,Capital
Place,Services for Communities,28/07/14,3/5/2017,Torridge Community Transport Ltd        ,1020,LED destination board for pannier hopper service,4200,Capital
Place,Services for Communities,3/10/2014,3/5/2017,The Living Projects - Plough & Share Credit Union Ltd        ,1052,Installation of an art wall for Totnes skatepark,300,Capital
Place,Services for Communities,3/10/2014,3/5/2017,Exeter Parks Watch                      ,1067,Sylvania Drive play area,3000,Capital
Place,Services for Communities,27/10/14,3/5/2017,Bideford Littleham & Westward Ho Cricket Club Ltd,1076,Purchase of storage container,2993.3,Capital
Place,Services for Communities,23/06/11,3/5/2017,Greener Ilfracombe Ltd                  ,496,Creation of a community garden,729.9,Capital
People,Education & Learning,1/6/2014,31/07/14,Offwell Under Fives Pre-School,1029606,"Sustainability, special support and inclusion grant, used for short term sustainability to ensure Devon meets its sufficiency duty ",2600,Revenue
People,Education & Learning,1/4/2014,31/07/14,Orchard Pre-school & Playgroup,1036897,"Sustainability, special support and inclusion grant, used for short term sustainability to ensure Devon meets its sufficiency duty",1500,Revenue
People,Education & Learning,1/4/2014,31/07/14,Walkhampton Play Line,N/A,"Sustainability, special support and inclusion grant, used for short term sustainability to ensure Devon meets its sufficiency duty",2000,Revenue
People,Education & Learning,1/10/2014,31/12/14,Holbeton Pre-School Playgroup,1022812,"Sustainability, special support and inclusion grant, used for short term sustainability to ensure Devon meets its sufficiency duty",2000,Revenue
People,Education & Learning,1/10/2014,1/11/2014,University of Exeter,X9538,Sponsorship funding for Extreme Imagination 2014 (Festival of Arts and Culture),2000,Revenue
Corporate,Public Health,26/08/14,1/2/2015,Big Blue Drum,9339838,To deliver a pilot programme of participartory arts workshop activities in three Devon secondary schools.,10000,Revenue
Corporate,Public Health,1/7/2014,31/12/17,Dartmoor National Park Authority,N/A,To support the delivery of the Public HEducation & Learningth Outcomes through the promotion of access to Dartmoor National Park.,60000,Revenue
Corporate,Public Health,1/4/2014,31/03/15,Devon Rape Crisis Service,1144548,"To deliver services to women who need support or information about rape, childhood sexual abuse or sexual violence and consultation to workers in partner agencies. ",20000,Revenue
Corporate,Public Health,10/12/2014,30/06/15,"Exeter Medical School, University of Exeter",RC000653,To support the evaluation of the 'It's safe to talk about suicide' education leaflet.,3000,Revenue
Corporate,Public Health,1/4/2014,31/03/15,Exeter Community Initiatives,1026229,To support the delivery of the Public HEducation & Learningth Outcomes throught the voluntary and community sector.,70000,Revenue
Corporate,Public Health,1/4/2014,31/12/17,Exmoor National Park Authority,N/A,To support the delivery of the Public HEducation & Learningth Outcomes through the promotion of access to Exmoor National Park.,30000,Revenue
Corporate,Public Health,29/05/14,31/03/16,Plymouth and Devon Racial Equality Council,1102012,"Enable an asset based approach to increasing hEducation & Learningth and wellbeing capacity of the Gypsy and Traveller communities living in, and in transit through, Devon. ",30000,Revenue
Corporate,Public Health,27/06/14,31/03/15,The Intercom Trust,1072772,To provide expertise to the care home sector in Devon to enable them to improve the services they offer to LGBT clients.,5000,Revenue
Corporate,Public Health,2/7/2014,31/12/14,Westbank Community HEducation & Learningth and Care,1119541,"To undertake some specific work delivering a pilot project in one new community in each of the Northern, Eastern and Western localities and in Exeter.",40000,Revenue
Corporate,Public Health,27/05/14,31/12/14,Westbank Community HEducation & Learningth and Care,1119541,To undertake some specific work to evaluate the impact of the Neighbourhood HEducation & Learningthwatch programmes.,5000,Revenue
Corporate,Public Health,18/07/14,31/03/15,North Devon Against Domestic Abuse,1098450,"Contribution toward the costs of delivering the MARAC IDVA service within North Devon, Torridge, and South & West Devon. ",20000,Revenue
Corporate,Public Health,13/03/14,31/03/15,Westbank Community HEducation & Learningth and Care,1119541,Raise and improve awareness of the lifestyle risks associated with skin cancer and increase the spotting and reporting of the early signs.,30000,Revenue
Corporate,Public Health,18/07/14,31/03/15,Stop Abuse for Everyone (SAFE),291415,Contribution toward the cost of delivering the MARAC IDVA service within East & Mid Devon.,10000,Revenue
Corporate,Public Health,27/05/14,31/03/15,The Zone Youth Enquiry Service Ltd,2787912,To enable young people who reside in the West Devon area to access sexual hEducation & Learningth promotion advice.,3905,Revenue
Corporate,Public Health,3/6/2014,31/03/15,Young Devon YES,1057949,To enable Young Devon to undertake some specific sexual hEducation & Learningth focused work with young people.,10000,Revenue
Corporate,Public Health,14/07/14,31/03/15,East Devon District Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,Exeter City Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,Mid Devon District Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,North Devon District Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,South Hams District Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,Teignbridge District Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,Torridge District Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,14/07/14,31/03/15,West Devon Borough Council,N/A,"To undertake some specific public hEducation & Learningth focused work locally to help people live hEducation & Learningthy lifestyles, make hEducation & Learningthy choices and reduce hEducation & Learningth inequalities.",20000,Revenue
Corporate,Public Health,1/7/2014,30/06/15,The Soil Association,206862,To continue the Food for Life Partnership (FFLP) programme in Devon. ,51312,Revenue
People,Social Care Commissioning,11/27/2014,31/12/15,South Molton Town Council and Exeter YMCA,,Community Capacity building for the Devon youth offer,9934,Revenue
People,Social Care Commissioning,11/27/2014,30/06/15,Tavistock Youth Café,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,11/27/2014,31/10/15,"The Bungalow Youth Project, Buckfastleigh",,Community Capacity building for the Devon youth offer,5000,Revenue
People,Social Care Commissioning,11/27/2014,31/05/16,Buckland & Milber Community Centre,,Community Capacity building for the Devon youth offer,2500,Revenue
People,Social Care Commissioning,11/27/2014,31/03/15,Ottery St Mary Town Council & Youth Centre,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,11/27/2014,31/03/16,Cullompton Town Council,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,11/5/2014,31/12/15,Chudleigh Youth Centre Charitable Trust,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,11/5/2014,9/4/2015,Axminster Town Council,,Community Capacity building for the Devon youth offer,7500,Revenue
People,Social Care Commissioning,11/5/2014,31/07/15,Moretonhampstead Association for Youth,,Community Capacity building for the Devon youth offer,5000,Revenue
People,Social Care Commissioning,12/1/2014,31/03/15,Exeter Joint Committee (Exeter Board),,Community Capacity building for the Devon youth offer,25000,Revenue
People,Social Care Commissioning,12/22/2014,28/02/15,Holsworthy Community Property Trust LTD,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,12/23/2014,31/03/15,Dartmouth Town Council,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,12/23/2014,31/03/16,Braunton Youth Club,,Community Capacity building for the Devon youth offer,5060,Revenue
People,Social Care Commissioning,12/23/2014,1/2/2016,Phatfish Youth Group,,Community Capacity building for the Devon youth offer,7680,Revenue
People,Social Care Commissioning,1/22/2015,31/07/15,Dawlish Action for Youth,,Community Capacity building for the Devon youth offer,10000,Revenue
People,Social Care Commissioning,1/22/2015,28/02/16,Starcross Parish Council,,Community Capacity building for the Devon youth offer,5000,Revenue
People,Social Care Commissioning,2/25/2015,30/09/15,Honiton Youth Club,,Community Capacity building for the Devon youth offer,5000,Revenue
People,Social Care Commissioning,12/17/2013,31/03/14,Acorns Communication & Movement Group,,Aiming High For Disabled Children Grant,4350,Revenue
People,Social Care Commissioning,12/17/2013,31/03/14,TIGAS (Torridge Inclusive Games and Sports),,Aiming High For Disabled Children Grant,4967.08,Revenue
People,Social Care Commissioning,11/26/2013,31/03/14,O C R A,,Aiming High For Disabled Children Grant,4925,Revenue
People,Social Care Commissioning,6/23/2014,31/03/15,Visions Inclusive Badminton Academy,,Aiming High For Disabled Children Grant,2540,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Barnstaple Footbal Club,,Aiming High For Disabled Children Grant,3736,Revenue
People,Social Care Commissioning,6/23/2014,31/03/15,The Hollow Lane Club,,Aiming High For Disabled Children Grant,4600,Revenue
People,Social Care Commissioning,6/23/2014,31/03/15,Moorvision,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,6/23/2014,31/03/15,SPLASH,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Tavispecials FC,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,6/23/2014,31/03/15,Pathfield Activities Club,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Sout West Autism CIC,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,White Shell Enterprises CIC,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Down's Syndrome Association - North Devon,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,North Devon Forum for Autism,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,North Devon Juvenile Diabetes Group,,Aiming High For Disabled Children Grant,1500,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Safe Breaks Holidays Ltd,,Aiming High For Disabled Children Grant,3500,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Babcock Learning & Development,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Exeter City FC,,Aiming High For Disabled Children Grant,3754,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,Calvert Trust,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,7/9/2014,31/03/15,South Devon Asperger's Group,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,9/11/2014,31/03/15,Visions Inclusive Badminton Academy,,Aiming High For Disabled Children Grant,460.8,Revenue
People,Social Care Commissioning,9/16/2014,31/03/15,Downsouth,,Aiming High For Disabled Children Grant,2158,Revenue
People,Social Care Commissioning,9/16/2014,31/03/15,Devon County Football Association,,Aiming High For Disabled Children Grant,2400,Revenue
People,Social Care Commissioning,8/23/2014,31/03/15,Autism Behaviour Communication,,Aiming High For Disabled Children Grant,5000,Revenue
People,Social Care Commissioning,10/1/2014,31/03/15,O C R A,,Aiming High For Disabled Children Grant,4800,Revenue
People,Social Care Commissioning,12/11/2014,31/03/15,MANageABLE,,Aiming High For Disabled Children Grant,1000,Revenue
People,Social Care Commissioning,12/11/2014,31/03/15,Acorns Communication & Movement Group,,Aiming High For Disabled Children Grant,3000,Revenue
People,Social Care Commissioning,2/13/2014,31/03/15,DARTMOUTH CARING                        ,,DEMENTIA GRANT                          ,500,Revenue
People,Social Care Commissioning,2/13/2014,31/03/15,CULM VALLEY MEMORY CAFE                 ,,DEMENTIA GRANT                          ,500,Revenue
People,Social Care Commissioning,2/13/2014,31/03/15,WINKLEIGH SOCIETY                       ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,2/13/2014,31/03/15,ESTUARY LEAGUE OF FRIENDS               ,,MEMORY CAFE                             ,200,Revenue
People,Social Care Commissioning,2/13/2014,31/03/15,ROTARY CLUB OF TOTNES                   ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,2/14/2014,31/03/15,BISHOPSTEIGNTON MEMORY CAFE             ,,MEMORY CAFE                             ,499.2,Revenue
People,Social Care Commissioning,2/18/2014,31/03/15,HONITON MEMORY CAFE                     ,,MEMORY CAFE GRANT                       ,500,Revenue
People,Social Care Commissioning,2/18/2014,31/03/15,TAVISTOCK MEMORY CAFE                   ,,MEMORY CAFE GRANT                       ,500,Revenue
People,Social Care Commissioning,2/18/2014,31/03/15,ACORN COMMUNITY SUPPORT                 ,,MEMORY CAFE GRANT                       ,500,Revenue
People,Social Care Commissioning,2/18/2014,31/03/15,ROTARY CLUB OF ASHBURTON/               ,,MEMORY CAFE GRANT                       ,500,Revenue
People,Social Care Commissioning,2/20/2014,31/03/15,KINGSCARE LEAGUE OF FRIENDS             ,,MEMORY CAFE GRANT                       ,500,Revenue
People,Social Care Commissioning,2/21/2014,31/03/15,TORRIDGE NORTH MID & W DEVON CAB        ,,BARNSTAPLE MEMORY                       ,500,Revenue
People,Social Care Commissioning,2/21/2014,31/03/15,TORRIDGE NORTH MID & W DEVON CAB        ,,S MOLTON                                ,500,Revenue
People,Social Care Commissioning,2/25/2014,31/03/15,SENIOR COUNCIL FOR DEVON                ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,2/26/2014,31/03/15,OKEHAMPTON COLLEGE SCHOOL FUND          ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,2/27/2014,31/03/15,BUDLEIGH SALTERTON MEDICAL CENTR        ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,3/3/2014,31/03/15,TAW & TORRIDGE VOLUNTARY SERVICE        ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,3/3/2014,31/03/15,VOLUNTEERING IN HEducation & LearningTH                  ,,MEMORY CAFE GRANT                       ,500,Revenue
People,Social Care Commissioning,3/3/2014,31/03/15,VOLUNTEERING IN HEducation & LearningTH                  ,,MEMORY CAFE GRANT                       ,498,Revenue
People,Social Care Commissioning,3/4/2014,31/03/15,ROTARY CLUB OF YELVERTON                ,,MEMORY CAFE                             ,440,Revenue
People,Social Care Commissioning,3/5/2014,31/03/15,BLACKDOWN HEducation & LearningTHY LIVING AND            ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,3/11/2014,31/03/15,SEATON SENIOR COUNCIL                   ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,3/18/2014,31/03/15,OTTERY HELP SCHEME                      ,,MEMORY CAFE                             ,499,Revenue
People,Social Care Commissioning,4/11/2014,31/03/15,FRIENDS OF HEAVITREE HEducation & LearningTH CENT        ,,MEMORY CAFE                             ,500,Revenue
People,Social Care Commissioning,4/11/2014,31/03/15,WESTBANK COMMUNITY HEducation & LearningTH & CARE        ,,MEMORY CAFE                             ,1500,Revenue
People,Social Care Commissioning,6/7/2013,8/31/2014,EMINENCE CARE LTD (ROSE LODGE),,Investment in residential  dementia care capacity,139800,Revenue
Place,Services for Communities,4/1/2014,31/03/15,BEAFORD ARTS CENTRE                     ,Charity Reg no: 279784,Arts Activity programme,75000,Revenue
Place,Services for Communities,4/1/2014,31/03/15,D A I S I                               ,Charity Reg no: 1071762,Arts Activity programme,75000,Revenue
Place,Services for Communities,5/19/2014,31/03/15,BURY MEADOW RESIDENTS ASSOC             ,,for 2 blue plaques - Painter FJ Widgery & Gardener R Vietch,200,Revenue
Place,Services for Communities,5/16/2014,31/03/15,CHILDRENS HOSPICE SOUTH WEST            ,Charity No. 1003314,for sensory soft play equipment,160,Revenue
Place,Services for Communities,9/23/2014,31/03/15,CITY RAIDERS YOUTH FOOBALL CLUB         ,,"for equipment i.e. bibs, cones etc",800,Revenue
Place,Services for Communities,9/23/2014,31/03/15,COUNTESS WEAR COFFEE CLUB               ,,for members day out,200,Revenue
Place,Services for Communities,6/25/2014,31/03/15,DEVON CAROUSEL PROJECT                  ,,for the Carousel storytelling tour,500,Revenue
Place,Services for Communities,9/24/2014,31/03/15,DEVON CAROUSEL PROJECT                  ,,for Carousel Storytelling tour,500,Revenue
Place,Services for Communities,7/16/2014,31/03/15,DIGBY COMMUNITY ASSOCIATION             ,,for refurbishment of Lodge Gates,350,Revenue
Place,Services for Communities,5/19/2014,31/03/15,EXETER ANTI-SLAVERY GROUP               ,Charity No. 1049160,"for publicity, info packs for free event @ Exeter University",573.39,Revenue
Place,Services for Communities,7/16/2014,31/03/15,EXETER COMMUNITY TRANSPORT ASSOC        ,Charity No. 1129560,to assist with fleet replacement ,500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,EXETER ST JAMES COMMNTY TRST LTD        ,Company No. IP032444,for purchase of indemnity insurance ,800,Revenue
Place,Services for Communities,10/17/2014,31/03/15,EXETER Y M C A (COMM PROJECTS)          ,Charity No. 250197,"for project '3D Dream, Develop, Deliver",1000,Revenue
Place,Services for Communities,9/23/2014,31/03/15,EXETER YMCA COMMUNITY PROJECTS          ,Charity No. 250197,to assist with Job Club ,1000,Revenue
Place,Services for Communities,9/19/2014,31/03/15,FIRST STEPS COMMUNITY PLAYGROUP         ,Charity No. 1023077,to buy a new fridge for the breakfast/after school club,500,Revenue
Place,Services for Communities,11/21/2014,31/03/15,FRIENDS OF HEAVITREE HEducation & LearningTH CENT        ,Charity No. 1037303,for new notice board & benches ,850,Revenue
Place,Services for Communities,10/16/2014,31/03/15,FRIENDS OF STOKE HILL FIRST SCH         ,Charity No. 1063836,Transport costs for visit to Eden Project,800,Revenue
Place,Services for Communities,7/22/2014,31/03/15,HEAVITREE COMMUNITY PRE-SCHOOL          ,Charity No. 1027505,for improvements to outdoor space ,760,Revenue
Place,Services for Communities,5/27/2014,31/03/15,JUNCTION 72A MODEL RAILWAY CLUB         ,Charity No. 283907,for controller and electric point motors,388,Revenue
Place,Services for Communities,7/29/2014,31/03/15,LIVING OPTIONS DEVON                    ,Charity No. 1102489,for BSL version of Positive Devon Living Magazine ,500,Revenue
Place,Services for Communities,8/27/2014,31/03/15,NEWTOWN COMMUNITY ASSOCIATION           ,Charity No. 299529,for community event to engage all ages ,500,Revenue
Place,Services for Communities,5/16/2014,31/03/15,ORGANIC ARTS                            ,Company No. 07394459,for community garden,490,Revenue
Place,Services for Communities,5/16/2014,31/03/15,ORGANIC ARTS                            ,Company No. 07394459,for community garden,280,Revenue
Place,Services for Communities,5/16/2014,31/03/15,ORGANIC ARTS                            ,Company No. 07394459,for community garden,280,Revenue
Place,Services for Communities,5/16/2014,31/03/15,ORGANIC ARTS                            ,Company No. 07394459,community garden,350,Revenue
Place,Services for Communities,5/16/2014,31/03/15,ORGANIC ARTS                            ,Company No. 07394459,community garden,140,Revenue
Place,Services for Communities,4/23/2014,31/03/15,PINHOE COMMUNITY CENTRE                 ,Charity No. 300926,replacement of doors to comply with H & S E,1000,Revenue
Place,Services for Communities,5/19/2014,31/03/15,PINHOE CRICKET CLUB                     ,,for purchasing new kit and insurance ,300,Revenue
Place,Services for Communities,11/3/2014,31/03/15,PINHOE PANTOMIME SOCIETY                ,,for provision of secure storage facility for equipment ,500,Revenue
Place,Services for Communities,5/19/2014,31/03/15,RELATE EXETER & DISTRICT                ,Charity No. 1067065,for purchase of new printer ,396.66,Revenue
Place,Services for Communities,5/19/2014,31/03/15,ROYAL MARINES ASSOCIATION               ,Charity No. 206003,for Armistice Day Service 11/11/2014 ,500,Revenue
Place,Services for Communities,11/14/2014,31/03/15,S F I MEDIA LTD                         ,Company No. 05540845,community advent windows in Portland Street,60,Revenue
Place,Services for Communities,6/24/2014,31/03/15,S O S GLOBAL                            ,Company No. 06560083,for outreach programme 'Safer & Happier Communities ,500,Revenue
Place,Services for Communities,5/19/2014,31/03/15,ST PETROCK'S (EXETER) LTD               ,Charity No. 1090155,for installation costs of dishwasher,250,Revenue
Place,Services for Communities,8/8/2014,31/03/15,ST THOMAS COMMUNITY ASSOCIATION         ,Charity No. 1095887,Community Festival Mural,400,Revenue
Place,Services for Communities,9/10/2014,31/03/15,ST THOMAS COMMUNITY ASSOCIATION         ,Charity No. 1095887,St Thomas Community Festival,500,Revenue
Place,Services for Communities,6/20/2014,31/03/15,STEPPING STONES PRESCHOOL(EXETER        ,,for moving costs ,1000,Revenue
Place,Services for Communities,9/22/2014,31/03/15,SYLVANIA ENV & COMMUNITY PROJECT        ,Charity No. 293484,"for tree survey& surgery, stream clearance",3000,Revenue
Place,Services for Communities,4/23/2014,31/03/15,TOPSHAM BOWLING CLUB                    ,,resurfacing of footpaths & viewing areas adjacent to bowling green,1500,Revenue
Place,Services for Communities,8/19/2014,31/03/15,TOPSHAM COMMUNITY ASSOCIATION LT        ,Company No. 08111534,Matthews Hall Projection Facilities,1000,Revenue
Place,Services for Communities,8/19/2014,31/03/15,TOPSHAM COMMUNITY ASSOCIATION LT        ,Company No. 08111534,Topsham ferryman commemoration,100,Revenue
Place,Services for Communities,9/23/2014,31/03/15,UNIVERSITY OF EXETER-FINANCE OFF        ,,to bring an author in-residence into 4 schools ,500,Revenue
Place,Services for Communities,10/20/2014,31/03/15,WONFORD & ST PAULS YTH & COM PRJ        ,,for 'Dream scheme' project ,300,Revenue
Place,Services for Communities,11/21/2014,31/03/15,WONFORD COMM & LEARNING CNTR LTD        ,Company No. 05908666,for new hot cupboard & H & S courses,1000,Revenue
Place,Services for Communities,9/22/2014,31/03/15,DEVON EXHIBITIONS FUND                  ,,for an exhibition of exploring the expired ,1050,Revenue
